"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
1000,0.001,5,0.75,10,4.44252901806857,4.423434986017
1200,0.001,5,0.75,10,3.64146030994329,3.62310855555708
1500,0.001,5,0.75,10,2.70395217441402,2.68661629254416
800,0.005,5,0.75,10,0.254606955624757,0.260505919636541
1000,0.005,5,0.75,10,0.131467181463106,0.157678703938582
1200,0.005,5,0.75,10,0.0950088176655977,0.136810491809701
1500,0.005,5,0.75,10,0.0785395183448135,0.13224582060648
800,0.008,5,0.75,10,0.0881362427272657,0.135315196211078
1000,0.008,5,0.75,10,0.0753442295242666,0.13272638227025
1200,0.008,5,0.75,10,0.0677880905175244,0.130567127893932
1500,0.008,5,0.75,10,0.0587275587163357,0.129413243591234
800,0.01,5,0.75,10,0.0751653190530625,0.131300604081245
1000,0.01,5,0.75,10,0.0657708191981566,0.130310696216267
1200,0.01,5,0.75,10,0.0593098750057309,0.130040597552155
1500,0.01,5,0.75,10,0.0510695458736454,0.128944536736559
800,0.001,6,0.75,10,5.42103211190767,5.40045761099844
1000,0.001,6,0.75,10,4.44251570800252,4.42345041996316
1200,0.001,6,0.75,10,3.64147719849645,3.62309353990946
1500,0.001,6,0.75,10,2.70399001775529,2.68656152149051
800,0.005,6,0.75,10,0.253825412585094,0.259969261111284
1000,0.005,6,0.75,10,0.12847721118622,0.157555596040493
1200,0.005,6,0.75,10,0.0905849816621281,0.136452004526583
1500,0.005,6,0.75,10,0.0722119612136934,0.131615896876161
800,0.008,6,0.75,10,0.0829062171677855,0.13304294196803
1000,0.008,6,0.75,10,0.0685182716414613,0.131342636408723
1200,0.008,6,0.75,10,0.0594619665018831,0.130133523100214
1500,0.008,6,0.75,10,0.0502129467889546,0.129915778352396
800,0.01,6,0.75,10,0.0683128654894886,0.131509703254224
1000,0.01,6,0.75,10,0.0574948881783001,0.130356191406032
1200,0.01,6,0.75,10,0.0510905790780979,0.128448930961275
1500,0.01,6,0.75,10,0.0428850631651646,0.127719799020566
800,0.001,8,0.75,10,5.42104074980828,5.40046040779654
1000,0.001,8,0.75,10,4.44252462622856,4.42348112830969
1200,0.001,8,0.75,10,3.64144714954768,3.62317908734282
1500,0.001,8,0.75,10,2.70395440308737,2.68667195885792
800,0.005,8,0.75,10,0.253409620587509,0.260273293648267
1000,0.005,8,0.75,10,0.124867940235551,0.156495441578801
1200,0.005,8,0.75,10,0.0826979932200249,0.1344577813841
1500,0.005,8,0.75,10,0.0627343526139599,0.130544193176503
800,0.008,8,0.75,10,0.0753228447400343,0.132448525028273
1000,0.008,8,0.75,10,0.0588458070965044,0.131122425040278
1200,0.008,8,0.75,10,0.0497328973065208,0.129622426813404
1500,0.008,8,0.75,10,0.0422910220606239,0.127705795207605
800,0.01,8,0.75,10,0.0580360136809779,0.130152604843851
1000,0.01,8,0.75,10,0.0486541285117727,0.129016739142196
1200,0.01,8,0.75,10,0.0415128150767246,0.128577637084643
1500,0.01,8,0.75,10,0.0349417833306813,0.128224597961641
800,0.001,5,0.9,10,5.42098900285023,5.40063201691687
1000,0.001,5,0.9,10,4.44246122257036,4.42361150253754
1200,0.001,5,0.9,10,3.64139928094957,3.62323644547824
1500,0.001,5,0.9,10,2.70389095362292,2.68678135623077
800,0.005,5,0.9,10,0.25413614923512,0.260344637764189
1000,0.005,5,0.9,10,0.130744633562714,0.157847436238601
1200,0.005,5,0.9,10,0.0943349658309194,0.137680554758223
1500,0.005,5,0.9,10,0.0782237735105832,0.13224851044931
800,0.008,5,0.9,10,0.0882303184114052,0.135541761243285
1000,0.008,5,0.9,10,0.0751474071829643,0.132247546313245
1200,0.008,5,0.9,10,0.0671351757646129,0.130682919833353
1500,0.008,5,0.9,10,0.0584233586845059,0.129834679378647
800,0.01,5,0.9,10,0.0756028868013876,0.132339716479188
1000,0.01,5,0.9,10,0.0656251582704732,0.131399521466459
1200,0.01,5,0.9,10,0.0581608807553046,0.129865880140731
1500,0.01,5,0.9,10,0.0505347692348619,0.129548522133686
800,0.001,6,0.9,10,5.4209928660786,5.40061144347283
1000,0.001,6,0.9,10,4.44246112002693,4.42363192828802
1200,0.001,6,0.9,10,3.64143148943709,3.62321402471971
1500,0.001,6,0.9,10,2.70390600912115,2.68671194342957
800,0.005,6,0.9,10,0.253576075594427,0.259997395340233
1000,0.005,6,0.9,10,0.128015665418316,0.157352263174052
1200,0.005,6,0.9,10,0.0897718017142417,0.136793261802919
1500,0.005,6,0.9,10,0.0711260168516282,0.132046620566061
800,0.008,6,0.9,10,0.0824437045509473,0.135206602061143
1000,0.008,6,0.9,10,0.0676533847593799,0.132318118316351
1200,0.008,6,0.9,10,0.0590618388970815,0.130004962217661
1500,0.008,6,0.9,10,0.0498082544815201,0.130466683946547
800,0.01,6,0.9,10,0.0677801023069362,0.132098054669031
1000,0.01,6,0.9,10,0.0571676711922545,0.131009825354913
1200,0.01,6,0.9,10,0.0501200802299544,0.130073109497396
1500,0.01,6,0.9,10,0.0421998762584544,0.129312115536875
800,0.001,8,0.9,10,5.42099667047954,5.40058916447839
1000,0.001,8,0.9,10,4.4424464462617,4.42366038326285
1200,0.001,8,0.9,10,3.64140338724826,3.62323732540253
1500,0.001,8,0.9,10,2.70387089237882,2.68671412859933
800,0.005,8,0.9,10,0.252855574907458,0.259865861893836
1000,0.005,8,0.9,10,0.124224982736812,0.157257817052672
1200,0.005,8,0.9,10,0.0822656231148949,0.1358331824907
1500,0.005,8,0.9,10,0.0619002749686958,0.131970418694867
800,0.008,8,0.9,10,0.0741073377984575,0.133769704390622
1000,0.008,8,0.9,10,0.0580147851514218,0.130542369498545
1200,0.008,8,0.9,10,0.0493912054198437,0.13039731434549
1500,0.008,8,0.9,10,0.0429670152531073,0.129432446755187
800,0.01,8,0.9,10,0.0575437293190032,0.131305144585285
1000,0.01,8,0.9,10,0.0486165259880099,0.130086771248129
1200,0.01,8,0.9,10,0.0413462310765036,0.130216690284879
1500,0.01,8,0.9,10,0.0346337587228646,0.129252732055301
800,0.001,5,1,10,5.42097010742784,5.4007178921146
1000,0.001,5,1,10,4.4424294141309,4.42371798070688
1200,0.001,5,1,10,3.64136652154236,3.62331039961804
1500,0.001,5,1,10,2.70383786391974,2.68669915360277
800,0.005,5,1,10,0.253900284186616,0.260152400695187
1000,0.005,5,1,10,0.130426715823999,0.158015105209314
1200,0.005,5,1,10,0.0941652423215398,0.138145431010025
1500,0.005,5,1,10,0.0781321169453253,0.132987948830187
800,0.008,5,1,10,0.0875343079984051,0.135948520551431
1000,0.008,5,1,10,0.074314234194541,0.133155706282142
1200,0.008,5,1,10,0.06700088116118,0.132166258924323
1500,0.008,5,1,10,0.0584030174206536,0.131437987596644
800,0.01,5,1,10,0.0749600472716155,0.133203801116792
1000,0.01,5,1,10,0.0654631385224579,0.132266213634346
1200,0.01,5,1,10,0.0580782969506936,0.131455960458209
1500,0.01,5,1,10,0.0497594576323218,0.130304736588388
800,0.001,6,1,10,5.42097010742784,5.4007178921146
1000,0.001,6,1,10,4.4424294141309,4.42371798070688
1200,0.001,6,1,10,3.64136652154236,3.62331039961804
1500,0.001,6,1,10,2.70383786391974,2.68669915360277
800,0.005,6,1,10,0.253245966171891,0.260255075975583
1000,0.005,6,1,10,0.127564472811019,0.157545934469955
1200,0.005,6,1,10,0.0891599998562771,0.137289145950024
1500,0.005,6,1,10,0.0701606531065069,0.132845383707387
800,0.008,6,1,10,0.0823240483654469,0.134661015561721
1000,0.008,6,1,10,0.0680518744222301,0.13211597365432
